id,slug,title,category,description,duration,image_url,sort_order
2,baby-massage-imun-booster-relaksasi,"Baby Massage Imun Booster & Relaksasi","Baby Treatment","Mendukung relaksasi, meningkatkan kualitas tidur, melancarkan sirkulasi, dan membantu perkembangan motorik serta sensorik bayi.","30 Menit",,1
8,comfort-breath,"Comfort Breath","Paket Baby Treatment","Kombinasi nebulizer dan sinar infrared untuk membantu melegakan pernapasan dan mengurangi ketegangan pada dada.","30 Menit",,2
18,pediatric-massage-kids,"Pediatric Massage Kids","Kids Treatment","Pijat pediatrik untuk membantu keluhan seperti cold and flu, kembung, kolik, gangguan makan, konstipasi, diare, dan tumbuh gigi.","60 Menit",,3
